epoch,batch_idx,data_type,tot_loss,recon_loss,pred_loss,kld_loss,prop_mse_loss,run_time
0,151,train,4.76241102218628,1.0998793840408325,3.662531614303589,8.167639187206532e-09,0.0,7.49805
0,152,train,4.7835699081420895,1.10182466506958,3.68174524307251,8.394252404286817e-09,0.0,7.44259
0,153,train,4.796970081329346,1.0890338659286498,3.707936191558838,8.623949021568933e-09,0.0,7.30173
0,154,train,4.789559078216553,1.0941269874572754,3.695432186126709,8.838682497014361e-09,0.0,7.28475
0,155,train,4.639733219146729,1.0821451902389527,3.5575879573822022,9.039425030721305e-09,0.0,7.35635
0,156,train,4.677602291107178,1.088064980506897,3.5895373821258545,9.27154903962446e-09,0.0,7.25035
0,157,train,4.734550476074219,1.0866592884063722,3.647891139984131,9.567791892095556e-09,0.0,7.67851
0,158,train,4.739927864074707,1.0773122787475586,3.6626156330108643,9.73667475534512e-09,0.0,7.45424
0,159,train,4.592704105377197,1.0586191177368165,3.5340850353240967,9.950369772582235e-09,0.0,7.07735
0,160,train,4.694631099700928,1.070315456390381,3.624315690994263,1.0246310289119265e-08,0.0,7.37278
0,161,train,4.556858825683594,1.0632580995559693,3.4936007499694823,1.0453348764372095e-08,0.0,7.17227
0,162,train,4.595791053771973,1.0584616661071777,3.5373295307159425,1.0689184826162545e-08,0.0,7.14884
0,163,train,4.6162995338439945,1.0560265064239502,3.560272979736328,1.0989637289071652e-08,0.0,7.18335
0,164,train,4.5240801811218265,1.0478332042694092,3.476246976852417,1.1176218883690581e-08,0.0,7.50006
0,165,train,4.54030590057373,1.0361432313919068,3.5041627407073976,1.1450585901684462e-08,0.0,7.34007
0,166,train,4.493407726287842,1.0319508075714112,3.4614569664001467,1.1722217152509983e-08,0.0,7.35595
0,167,train,4.360298442840576,1.0390753507614137,3.3212230682373045,1.1960903378849252e-08,0.0,7.58906
0,168,train,4.496975708007812,1.0303470134735107,3.4666285514831543,1.2128300497238343e-08,0.0,7.48699
0,169,train,4.45986967086792,1.0094319462776185,3.4504377365112306,1.2362607293425754e-08,0.0,7.42409
0,170,train,4.442370986938476,1.0226831912994385,3.419687795639038,1.2582315100928554e-08,0.0,7.29286
0,171,train,4.427150917053223,1.0203574419021606,3.406793451309204,1.2862394704882263e-08,0.0,7.29525
0,172,train,4.394975566864014,1.011141586303711,3.383833885192871,1.314573427890764e-08,0.0,7.39345
0,173,train,4.40076847076416,1.0054989576339721,3.3952696323394775,1.3386863173536767e-08,0.0,7.31611
0,174,train,4.355738735198974,0.9979597687721252,3.3577788829803468,1.3605383664128112e-08,0.0,7.36576
0,175,train,4.332643795013428,0.9959095358848572,3.336734342575073,1.3886017669051398e-08,0.0,7.36178
0,176,train,4.254766273498535,0.9981030702590943,3.256663179397583,1.4219987676256097e-08,0.0,7.23851
0,177,train,4.313264179229736,0.9898512721061706,3.3234128952026367,1.4365732248222684e-08,0.0,7.05078
0,178,train,4.315106010437011,0.9981507182121276,3.316955327987671,1.4692380290171058e-08,0.0,7.22754
0,179,train,4.217899227142334,0.9822319269180297,3.235667371749878,1.4964830619135226e-08,0.0,7.11202
0,180,train,4.249865913391114,0.9760508060455322,3.2738152027130125,1.52883053772257e-08,0.0,7.32948
0,181,train,4.229719734191894,0.9794629096984864,3.2502567768096924,1.558162203707525e-08,0.0,7.16954
0,182,train,4.257107067108154,0.9658472180366516,3.2912599086761474,1.589717726346862e-08,0.0,7.36086
0,183,train,4.176391696929931,0.9552625298500061,3.2211291790008545,1.6157430238195047e-08,0.0,7.25982
0,184,train,4.206007862091065,0.9539139866828918,3.2520939350128173,1.657234811602848e-08,0.0,7.52878
0,185,train,4.117023944854736,0.9538474917411804,3.163176441192627,1.6922372836347677e-08,0.0,7.24365
0,186,train,4.127111577987671,0.9565496563911438,3.1705618858337403,1.724942109149197e-08,0.0,7.13368
0,187,train,4.122492027282715,0.9511525511741639,3.1713394641876222,1.7706468469214087e-08,0.0,7.01692
0,188,train,4.08124418258667,0.9476985812187195,3.1335455894470217,1.802384197446827e-08,0.0,7.12402
0,189,train,4.084896230697632,0.9354732990264892,3.1494228839874268,1.8369133059081832e-08,0.0,7.06747
0,190,train,4.148731136322022,0.9378406047821045,3.2108905792236326,1.8851469718583758e-08,0.0,6.97688
0,191,train,4.130429458618164,0.9375978112220764,3.192831611633301,1.916948981772748e-08,0.0,7.03786
0,192,train,4.0488663673400875,0.9240768551826477,3.1247894287109377,1.953594441772566e-08,0.0,7.15603
0,193,train,4.07445125579834,0.9295130729675293,3.144938087463379,1.9887776403493264e-08,0.0,7.14316
