SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM
Cc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.517265155,3.25742,300.274,6,1,110.67,5,0.8777,1
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,0.665275802,2.90892,250.301,3,0,34.89,1,0.9227,1
Cc1ccc(C2Nc3ccccc3SC2=O)cc1,0.840443782,3.78052,255.342,3,1,29.1,1,0.92,1
Cc1ccc(N2C(=O)C=CC2=O)cc1,0.623426465,1.42442,187.198,2,0,37.38,1,0.965,1
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.525476715,5.30382,375.859,3,1,46.92,4,0.946,1
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.774127202,3.15682,227.263,3,2,52.82,2,0.85,1
Cc1ccccc1/C=N/c1ccccc1Sc1ccccc1,0.54677041,5.89682,303.43,2,0,12.36,4,0.842,1
Cc1ccccc1N,0.500282,1.57722,107.156,1,1,26.02,0,0.4313,1
Cc1ccccc1N=Cc1ccccc1O,0.758000611,3.45122,211.264,2,1,32.59,2,0.93,1
Cc1nc(-c2ccccc2)cs1,0.648579293,3.11852,175.256,2,0,12.89,1,0.903,1
Cc1ncc[nH]1,0.490446891,0.71812,82.106,1,1,28.68,0,0.241,1
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.299623337,-0.7089,413.234,2,1,45.34,5,0.886,1
CCc1ccccc1N,0.56344964,1.8312,121.183,1,1,26.02,1,0.4988,1
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.292355805,-0.3188,427.261,2,1,45.34,6,0.923,1
CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.213726932,0.0713,441.288,2,1,45.34,7,0.878,1
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.405536783,3.6718,461.01,7,1,81.65,8,0.83,1
CCCCCCC[n+]1ccccn1.[I-],0.387476388,-0.6565,306.191,1,0,16.77,6,0.914,1
CCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.052610014,6.3447,878.879,4,0,43.18,22,0.9727,1
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.384735163,-0.5638,326.319,2,1,29.46,12,0.919,1
CCCCCCCC[n+]1ccccn1.[I-],0.384094449,-0.2664,320.218,1,0,16.77,7,0.892,1
CCCCCCCCC[n+]1ccccn1.[I-],0.375051575,0.1237,334.245,1,0,16.77,8,0.877,1
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.036562363,7.9051,934.987,4,0,43.18,26,0.9776,1
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.072108081,4.9327,780.844,1,0,24.72,22,0.9346,1
CCCCCCCCCCC1=Nn2cnnc2N(CCCCCCCCCC)C(=O)C1,0.237675584,6.8904,431.669,5,0,63.38,18,0.971,1
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.02972659,9.4655,991.095,4,0,43.18,30,0.9711,1
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.151853163,4.4184,569.632,4,0,39.29,15,0.9127,1
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.046089926,6.4931,836.952,1,0,24.72,26,0.9418,1
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/C=C/c1ccccc1.[Br-].[Cl-],0.086853,0.3955,617.157,3,0,38.66,21,0.9499,1
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccc(OC)cc1.[Br-].[Cl-],0.082418537,-0.261,621.145,4,0,47.89,21,0.9544,1
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccco1.[Br-].[Cl-],0.088957494,-0.6766,581.08,4,0,51.8,20,0.9465,1
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.318840569,0.9966,382.427,2,1,29.46,16,0.934,1
[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,0.560220765,0.265,357.295,1,0,8.81,6,0.957,1
CCCCCCCCCCCCCCC1C=Nn2cnnc2N(CCCCCCCCCCCCCC)C1=O,0.109198832,9.8671,543.885,5,0,63.38,26,0.978,1
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.091865486,5.9788,625.74,4,0,39.29,19,0.9401,1
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.029729785,9.6139,949.168,1,0,24.72,34,0.9504,1
CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.056274874,8.5357,645.94,1,1,29.1,33,0.985,1
CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.056274874,8.5357,645.94,1,1,29.1,33,0.985,1
CCCCCCCCCCCCCCCCCN1C(=O)CSc2ccccc21,0.260555783,7.9967,403.676,2,0,20.31,16,0.93,1
CCCCCCCCCCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCCCCC)cc1OC.[Br-].[Na+],0.023512886,7.0249,854.025,6,0,80.18,38,0.9227,1
CCCCCCCCCCCCCSc1nc2ccccc2[nH]1,0.316869264,6.966,332.557,2,1,28.68,13,0.957,1
CCCCCCCCCCCCOC1C2OC(C)(C)O[C@H]2O[C@]12CO2,0.37980709,4.5268,356.503,5,0,49.45,12,0.944,1
CCCCCCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCC)cc1OC.[Br-].[Na+],0.039348567,3.9041,741.809,6,0,80.18,30,0.9085,1
CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,0.247017115,6.0555,340.292,1,0,8.81,7,0.8298,1
CCCCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,0.319052089,3.3712,408.639,8,3,81.24,18,0.9653,1
CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,0.394353088,4.31872,438.671,10,2,91.75,15,0.9672,1
CCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCC)cc1OC.[Br-].[Na+],0.062358986,0.7833,629.593,6,0,80.18,22,0.9009,1
CCCCCCn1cc[n+](C)c1.[I-],0.370191345,-1.1031,294.18,1,0,8.81,5,0.924,1
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,0.3143137,3.8473,411.558,8,4,106.68,13,0.9688,1
CCCCCCOC1C(C2CO2)OC2OC(C)(C)OC21,0.530393373,2.2271,286.368,5,0,49.45,7,0.946,1
CCCCCCSc1ncn[nH]1,0.54655612,2.4771,185.296,3,1,41.57,6,0.91,1
CCCCCCSc1ncnn1N,0.43089848,1.6643,200.311,5,1,56.73,6,0.91,1
CCCCn1cc[n+](C)c1.[I-],0.447019227,-1.8833,266.126,1,0,8.81,3,0.824,1
CCCN(CCC)Cc1ccc2cccnc2c1O,0.860282465,3.5624,258.365,3,1,36.36,6,0.94,1
CCCn1cc[n+](C)c1.[I-],0.414324009,-2.2734,252.099,1,0,8.81,2,0.774,1
CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,0.677909483,3.4236,292.433,6,1,41.38,5,0.969,1
CCN(CC)c1ccc(C=Nc2nnc(S)s2)cc1,0.677909483,3.4236,292.433,6,1,41.38,5,0.969,1
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,0.780336143,2.3202,325.206,3,0,40.62,5,0.935,1
CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21,0.75995588,1.6968,264.3,3,0,40.62,5,0.906,1
CCN(CC)CCN1C(=O)C(=O)c2ccccc21,0.740220911,1.5577,246.31,3,0,40.62,5,0.888,1
CCN(CC)CCOCc1ccc(O)c2ncccc12,0.788610417,2.7988,274.364,4,1,45.59,7,0.937,1
CCN1C(=O)CC(C)=Nn2cnnc21,0.642205578,0.2587,193.21,5,0,63.38,1,0.969,1
CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,0.411145753,3.7149,256.13,1,0,8.81,1,0.6205,1
CCOC(=O)C1=C(c2ccccc2)C(C#N)=C(N)OC1C,0.85915448,2.11588,284.315,5,1,85.34,3,0.68,1
CCOC(=O)C1N=NN(CC2(CC)COC(c3ccccc3)=N2)C1C(=O)OCC,0.617634474,2.1584,402.451,9,0,102.15,8,0.925,1
CCOC(=O)CC(=O)NCc1ccc(O)c2ncccc12,0.64283812,1.5098,288.303,5,2,88.52,5,0.832,1
CCOc1ccc(/C=N/NC(N)=S)cc1,0.458037374,1.2524,223.301,3,2,59.64,4,0.81,1
CCOc1ccccc1N,0.629081495,1.6675,137.182,2,1,35.25,2,0.5526,1
CCOP(=O)(O)C(NC)c1cccc(OC)c1,0.765927801,2.1351,259.242,4,2,67.79,6,0.8664,1
CCOP(=O)(O)C(NC)c1ccccc1OC,0.765927801,2.1351,259.242,4,2,67.79,6,0.9406,1
Clc1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.201523642,8.5072,511.456,4,0,35.64,7,0.89,1
Clc1ccc(-n2ccnc2)cc1,0.656380298,2.5257,178.622,2,0,17.82,1,0.513,1
Clc1cccc(-n2ccnc2)c1,0.656380298,2.5257,178.622,2,0,17.82,1,0.572,1
Clc1ccccc1-n1ccnc1,0.656380298,2.5257,178.622,2,0,17.82,1,0.519,1
Clc1ncc[nH]1,0.521511091,1.0631,102.524,1,1,28.68,0,0.477,1
ClCc1nc2ccccc2[nH]1,0.647495777,2.3017,166.611,1,1,28.68,1,0.81,1
CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,0.806113567,3.1595,291.354,3,1,48.99,3,0.964,1
CN(C)c1ccc(/C=N/c2ccccc2S)cc1,0.652198006,3.7919,256.374,3,1,15.6,3,0.77,1
CN(C)c1ccc(/C=N/Cc2ccc(O)c3ncccc23)cc1,0.748879178,3.6255,305.381,4,1,48.72,4,0.957,1
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],0.709775976,1.4636,407.989,2,0,9.49,4,0.75,1
CN(C)c1ccc(C=Nn2c(S)nnc2Cn2cncn2)cc1,0.561585819,1.1548,328.405,9,1,77.02,5,0.934,1
CN(C)Cc1ccc(O)c2ncccc12,0.808795169,2.002,202.257,3,1,36.36,2,0.928,1
CN(C)Cc1ccc2cccnc2c1O,0.808795169,2.002,202.257,3,1,36.36,2,0.891,1
CN=C(C)S/C=C(\C)c1ccc(O)cc1,0.611755605,3.5344,221.325,3,1,32.59,2,0.916,1
CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,0.846319882,2.1118,266.3,2,1,49.41,2,0.891,1
Cn1c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc2c1=O,0.533791648,2.5087,281.271,5,0,78.03,2,0.9072,1
Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O,0.722669886,2.3061,252.273,4,1,55.12,1,0.9194,1
Cn1c(-c2ccccc2)nc2ccccc2c1=O,0.650602752,2.6005,236.274,3,0,34.89,1,0.8993,1
Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,0.500310465,2.6873,272.129,2,1,29.04,2,0.4377,1
Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.572529309,0.3642,407.314,6,1,111.42,4,0.2012,1
CN1CCN(C(=S)NCc2ccc(O)c3ncccc23)CC1,0.82033759,1.5623,316.43,4,2,51.63,2,0.951,1
CNC(=O)N/N=C/c1ccccn1,0.506399874,0.3445,178.195,3,2,66.38,2,0.52,1
CNc1ccc(OC)cc1,0.669935642,1.7369,137.182,2,1,21.26,2,0.827,1
COC1C2OC(C)(C)O[C@H]2C[C@@H]1C1CO1,0.64136038,0.9402,214.261,4,0,40.22,2,0.929,1
COc1cc(/C=N/NC(N)=S)ccc1O,0.397901645,0.5679,225.273,4,3,79.87,3,0.88,1
COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,0.35029642,6.5875,418.496,4,1,47.28,5,0.954,1
COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.628144734,3.0547,312.321,4,1,72.83,7,0.9229,1
COc1ccc(/C=C/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,0.65715307,3.90872,347.418,5,0,48.52,5,0.9814,1
COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1O,0.837907871,2.8496,271.272,4,2,79.12,4,0.8753,1
COc1ccc(/C=N\\N2C(=S)NNC2C)cc1,0.620574287,1.0698,250.327,4,2,48.89,3,0.86,1
COc1ccc(C(=O)CSc2nnc(Cn3cncn3)[nH]2)cc1,0.516573031,1.4281,330.373,8,1,98.58,7,0.987,1
COc1ccc(C(C)=NOCn2cnnc2)cc1,0.59458768,1.685,246.27,6,0,61.53,5,0.938,1
COc1ccc(C=O)cc1Br,0.706989908,2.2702,215.046,2,0,26.3,2,0.819,1
COc1ccc(N)c([N+](=O)[O-])c1,0.408306999,1.1856,168.152,4,1,78.39,2,0.861,1
COc1ccc(O)c(/C=N/c2ccccc2O)c1,0.814653928,2.857,243.262,4,2,62.05,3,0.91,1
COc1ccc(O)c(/C=N/N2C(=O)c3ccccc3NC2c2cc(OC)ccc2O)c1,0.544882981,3.7156,419.437,7,3,103.62,5,0.93,1
COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,0.586382784,3.0633,342.347,5,1,82.06,8,0.9596,1
COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccc(Br)cc3)ccc2c1,0.448260676,5.2548,425.326,3,1,50.69,5,0.91,1
COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccccc3)ccc2c1,0.546421752,4.4923,346.43,3,1,50.69,5,0.87,1
COc1cccc(-c2cnc3cc([N+](=O)[O-])ccc3n2)c1OC,0.542794258,3.2222,311.297,6,0,87.38,4,0.915,1
COc1cccc(-c2cnc3ccccc3n2)c1OC,0.729162508,3.314,266.3,4,0,44.24,3,0.953,1
COc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,0.562902034,1.0974,315.362,9,1,83.01,5,0.924,1
COc1ccccc1N,0.570691385,1.2774,123.155,2,1,35.25,1,0.5679,1
COc1ccccc1N=Cc1ccccc1O,0.818225785,3.1514,227.263,3,1,41.82,3,0.85,1
COc1ccccc1NC(=O)/C=N\O,0.429599694,1.0937,194.19,4,2,70.92,3,0.728,1
COOCc1c(N)nnn1Cc1ccc(O)c2ncccc12,0.538786429,1.2404,301.306,8,2,108.31,5,0.87,1
CSc1scc(C)[n+]1-c1ccccc1.[I-],0.421411397,0.05912,349.262,2,0,3.88,2,0.9386,1
Fc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,0.580927356,1.2279,303.326,8,1,73.78,4,0.892,1
N#CC1=C(N)N(C2[C@H](O)[C@@H](O)[C@H](CO)O[C@H]2O)c2[nH]c(=O)[nH]c(=O)c2C1c1ccc([N+](=O)[O-])cc1,0.172953213,-2.58292,488.413,12,7,252.06,4,0.8779,1
N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccc(Cl)cc1,0.676262199,3.66458,350.761,5,1,89.25,1,0.868,1
N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1Cl,0.676262199,3.66458,350.761,5,1,89.25,1,0.916,1
N#CCc1cc(CN2CCOCC2)c(O)c2ncccc12,0.930455472,1.83868,283.331,5,1,69.38,3,0.89,1
N/N=C(C(=N/c1ccccc1O)/c1ccccc1)\c1ccccc1,0.435603194,3.876,315.376,4,2,70.97,4,0.8862,1
N[C@@H](CC(=O)O)C(=O)O,0.452021255,-1.127,133.103,3,3,100.62,3,0.887,1
N[C@@H](Cc1ccccc1)C(=O)O,0.690462799,0.641,165.192,2,2,63.32,3,0.868,1
N[C@@H](CS)C(=O)O,0.424381502,-0.6719,121.161,3,3,63.32,2,0.45,1
NC(=O)c1ccc(N=Cc2cccs2)cc1,0.809428438,2.5976,230.292,3,1,55.45,3,0.88,1
NC(=O)N/N=C/c1cc2ccccc2[nH]1,0.495387261,1.1701,202.217,2,3,83.27,2,0.63,1
NC(=S)N/N=C(\\c1ccco1)C(O)c1ccco1,0.435602071,1.1435,265.294,5,3,96.92,4,0.657,1
NC(=S)N/N=C/c1ccc(O)cc1,0.366150955,0.5593,195.247,3,3,70.64,2,0.89,1
NC(=S)N/N=C/c1cccnc1,0.388816583,0.2487,180.236,3,2,63.3,2,0.92,1
NC(=S)N/N=C/c1ccncc1,0.388816583,0.2487,180.236,3,2,63.3,2,0.845,1
Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.605331363,2.8121,209.252,2,2,54.7,1,0.939,1
Nc1ccc(-n2ccnc2)cc1,0.639898884,1.4545,159.192,3,1,43.84,1,0.662,1
Nc1ccc(Oc2cc(Oc3ccc(N)cc3)cc(Oc3ccc(N)cc3)c2)cc1,0.353322091,5.8101,399.45,6,3,105.75,6,0.974,1
Nc1ccc2nc[nH]c2c1,0.529376991,1.1451,133.154,2,2,54.7,0,0.626,1
Nc1ccc2sc3ccc(N)cc3c2c1,0.564415058,3.2189,214.293,3,2,52.04,0,0.895,1
Nc1ccccc1-c1nc2ccccc2[nH]1,0.605331363,2.8121,209.252,2,2,54.7,1,0.893,1
Nc1ccccc1Cl,0.529786082,1.9222,127.574,1,1,26.02,0,0.6362,1
Nc1ccccc1F,0.503067685,1.4079,111.119,1,1,26.02,0,0.5738,1
Nc1nc(-c2ccc(O)cc2)c(Sc2sc(N)nc2-c2ccc(O)cc2)s1,0.383365286,4.6604,414.537,9,4,118.28,4,0.851,1
Nc1nc(N)c2nc[nH]c2n1,0.469730964,-0.4827,150.145,5,3,106.5,0,0.709,1
Nc1nc(N)nc(N)n1,0.394014069,-1.3818,126.123,6,3,116.73,0,0.6387,1
Nc1nc(S)c2nc[nH]c2n1,0.387161543,0.2238,167.197,5,3,80.48,0,0.784,1
Nc1nc2[nH]cnc2c(=O)[nH]1,0.459751268,-0.7716,151.129,4,3,100.45,0,0.678,1
Nc1nc2ccccc2[nH]1,0.565899971,1.1451,133.154,2,2,54.7,0,0.3984,1
Nc1ncnc2[nH]cnc12,0.529675929,-0.0649,135.13,4,2,80.48,0,0.699,1
Nc1nnc(-c2ccccc2)s1,0.722041851,1.7873,177.232,4,1,51.8,1,0.685,1
Nc1nnc(S)s1,0.503862815,0.409,133.201,5,2,51.8,0,0.976,1
NCc1nc2ccccc2[nH]1,0.632365415,1.0216,147.181,2,2,54.7,1,0.634,1
NCCNCc1ccc(O)c2ncccc12,0.667781837,0.9887,217.272,4,3,71.17,4,0.969,1
NCCOCc1ccc(O)c2ncccc12,0.761334114,1.4157,218.256,4,2,68.37,4,0.989,1
Nn1c(S)nnc1Cn1cncn1,0.472097243,-1.0796,197.227,8,2,87.44,2,0.716,1
NNCc1ccc(O)c2ncccc12,0.484654746,0.9037,189.218,4,3,71.17,2,0.97,1
NOCc1ccc(O)c2ncccc12,0.700808085,1.3307,190.202,4,2,68.37,2,0.969,1
O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,0.551178531,3.1381,239.234,3,1,71.82,2,0.959,1
O=[N+]([O-])c1ccc(N/N=C/c2ccc(Cl)cc2)c([N+](=O)[O-])c1,0.513677756,3.6024,320.692,6,1,110.67,5,0.843,1
O=[N+]([O-])c1ccc(N/N=C/c2ccc(O)cc2O)c([N+](=O)[O-])c1,0.434429161,2.3602,318.245,8,3,151.13,5,0.9389,1
O=[N+]([O-])c1ccc2[nH]ncc2c1,0.510666528,1.4711,163.136,3,1,71.82,1,0.759,1
O=[N+]([O-])c1ccccc1C=Nn1c(S)nnc1Cn1cncn1,0.322645251,0.997,330.333,10,1,116.92,5,0.891,1
O=[N+]([O-])c1ccccc1-c1nc2ccccc2[nH]1,0.551178531,3.1381,239.234,3,1,71.82,2,0.909,1
O=C(/C=N\O)Nc1ccccc1,0.390102246,1.0851,164.164,3,2,61.69,2,0.595,1
O=C(/C=N\O)Nc1ccccc1Br,0.472640822,1.8476,243.06,3,2,61.69,2,0.751,1
O=C(C/N=C\\C=C\\c1ccccc1)O[K],0.575799902,1.3973,227.304,3,0,38.66,4,0.973,1
O=C(C/N=C\\C=C\\c1ccccc1)O[K],0.575799902,1.3973,227.304,3,0,38.66,4,0.973,1
O(C)C1C=CC(=CC=1)C1=C(C(N)OC2C1=CC=C1C=CC=NC=21)C#N,0.780328242,3.24608,329.359,5,1,81.16,2,0.787,1
O=C(C[n+]1ccccn1)c1ccc(Cl)cc1.[Br-],0.532972111,-1.0906,313.582,2,0,33.84,3,0.91,1
O=C(C=Cc1ccc(F)cc1)c1ccc(OCn2cncn2)cc1,0.515505197,3.3498,323.327,5,0,57.01,6,0.983,1
O=C(Cn1c(-c2ccc(Cl)cc2)nc2ccccc21)Nc1ccccc1,0.555933285,4.9954,361.832,3,1,46.92,4,0.926,1
O=C(Cn1cncn1)N1CCC(c2ccc(Cl)cc2Cl)=N1,0.86956498,2.2215,324.171,5,0,63.38,3,0.99,1
O=C(Cn1cncn1)N1CCC(c2ccc(F)cc2)=N1,0.839460737,1.0538,273.271,5,0,63.38,3,0.97,1
O=C(Cn1cncn1)N1CCC(c2ccccc2)=N1,0.818707363,0.9147,255.281,5,0,63.38,3,0.98,1
O=C(Cn1cncn1)NNC(=S)NC(O)c1ccccc1,0.341689578,-0.5355,306.351,6,4,104.1,4,0.978,1
O=C(CS)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CS,0.048569225,0.1482,782.965,19,2,172.59,44,0.5062,1
O=C(CSc1nnc(Cn2cncn2)o1)c1ccccc1,0.505418045,1.6844,301.331,8,0,86.7,6,0.984,1
O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,0.632070638,1.5511,241.25,4,2,74.58,3,0.823,1
O=C(O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1,0.716617402,3.9942,291.306,3,2,69.89,3,0.8913,1
O=C(O[K])C(Cc1c[nH]c2ccccc12)/N=C\\C=C\\c1ccccc1,0.542892761,3.4899,356.466,3,1,54.45,6,0.98,1
CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,0.377652927,2.591,380.585,8,3,81.24,16,0.9345,1
[Br-].c1ccc(CCC[n+]2ccn(CCc3ccccc3)c2)cc1,0.539835439,0.6551,371.322,1,0,8.81,7,0.973,1
[Br-].c1ccc(CCn2cc[n+](Cc3ccccc3)c2)cc1,0.580158262,0.0706,343.268,1,0,8.81,5,0.955,1
O=C(OCc1ccc(O)c2ncccc12)c1ccc([N+](=O)[O-])cc1,0.448916001,3.2056,324.292,6,1,102.56,4,0.901,1
O=C(OCc1ccc(O)c2ncccc12)c1ccc(Cl)cc1,0.743739296,3.9508,313.74,4,1,59.42,3,0.931,1
O=c1[nH]c2ccccc2[nH]c1=O,0.543862937,0.2164,162.148,2,2,65.72,0,0.8714,1
O=c1[nH]c2ccccc2nc1/C=C/c1ccc(Cl)cc1,0.777972763,3.7469,282.73,2,1,45.75,2,0.928,1
O=C1C=CC(=O)N1c1ccccc1,0.596503289,1.116,173.171,2,0,37.38,1,0.934,1
O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.403203132,2.5895,240.218,3,1,76,1,0.838,1
O=C1c2ccccc2NC(c2cc([N+](=O)[O-])ccc2O)N1/N=C/c1cc([N+](=O)[O-])ccc1O,0.301481298,3.5148,449.379,9,3,171.44,5,0.902,1
O=c1cc(/N=C/c2ccccc2)nc2sc(-c3ccc(Cl)cc3)c(O)c(=O)n12,0.520055541,3.8928,409.854,7,1,84.03,3,0.918,1
O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,0.416817601,4.4072,448.482,7,2,93.17,4,0.945,1
O=C1Nc2ccccc2/C1=N/c1ccc(Cl)cc1,0.834630945,3.4129,256.692,2,1,41.46,1,0.853,1
O=C1Nc2ccccc2/C1=N/c1ccc(O)cc1,0.801218968,2.4651,238.246,3,2,61.69,1,0.912,1
O=C1Nc2ccccc2/C1=N/c1ccccc1,0.791518224,2.7595,222.247,2,1,41.46,1,0.748,1
O=C1Nc2ccccc2SC1c1ccc(Cl)cc1,0.847941652,4.1255,275.76,2,1,29.1,1,0.94,1
O=Cc1c(-c2ccccc2)nc2ncccn12,0.625606628,2.2088,223.235,4,0,47.26,2,0.874,1
O=Cc1cc2cc([N+](=O)[O-])ccc2cc1Cl,0.456161728,3.2139,235.626,3,0,60.21,2,0.85,1
O=Cc1cc2cc(Cl)ccc2cc1Cl,0.670996456,3.9591,225.074,1,0,17.07,1,0.83,1
O=Cc1ccc(-n2ccnc2)cc1,0.645836573,1.6848,172.187,3,0,34.89,2,0.722,1
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,0.108159152,-0.3084,492.232,6,8,236.6,15,0.7797,1
O=S(=O)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.669269887,2.0746,362.403,6,0,77.66,8,0.976,1
O=S(=O)(O)c1c(Cc2ccc3ncccc3c2)c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c1S(=O)(=O)O,0.218398214,0.0591,619.607,11,5,284.74,7,0.9803,1
Oc1ccc(/C=N/C2CCCCC2/N=C/c2ccc(O)cc2)cc1,0.837196983,3.947,322.408,4,2,65.18,4,0.62,1
Oc1ccc(CC2=NCCN2)c2cccnc12,0.816738641,1.4846,227.267,4,2,57.51,2,0.9619,1
Oc1ccc(CC2=NCCO2)c2cccnc12,0.853802392,1.9116,228.251,4,1,54.71,2,0.9165,1
Oc1ccc(Cc2ccccc2)c2cccnc12,0.736698634,3.5312,235.286,2,1,33.12,2,0.9806,1
Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-],0.632994974,-0.8977,230.094,1,1,34.37,1,0.91,1
Oc1ccc(Cn2c(-c3ccc(Br)cc3)nc3ccccc32)c2cccnc12,0.395608245,5.7679,430.305,4,1,50.94,3,0.921,1
Oc1ccc(CNC(=S)N2CCN(c3ccccc3)CC2)c2cccnc12,0.683197649,3.1371,378.501,4,2,51.63,3,0.935,1
Oc1ccc(COCc2ccccc2)c2cccnc12,0.782469977,3.6572,265.312,3,1,42.35,4,0.942,1
