SMILES,IE,Concentration_mM
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.824,1
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.868,1
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.362,0.1
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.626,0.5
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.934,5
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.471,0.1
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.673,0.5
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.846,5
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.586,0.1
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.706,0.5
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.92,5
CC1(c2ccccc2)Nc2ccccc2N=C2CCCCC21,0.933,1
Cc1cc(C)cc(C(O)NC(=S)NNC(=O)Cn2cncn2)c1,0.948,1
Cc1cc(C)cc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)c1,0.95,1
Cc1cc(C)cc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)c1,0.87,0.01
Cc1cc(C)cc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)c1,0.892,0.1
Cc1cc(C)cc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)c1,0.864,0.001
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,0.93,1
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,0.794,0.01
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,0.912,0.1
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,0.65,0.001
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,0.93,1
Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1,0.519,0.01
Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1,0.72,0.1
Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1,0.329,0.001
Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1,0.757,1
Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,0.9219,5
Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,0.8875,1
Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,0.8849,0.5
Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,0.8458,0.1
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0.7473,0.01
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0.864,0.05
Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c(=O)o1,0.898,1
Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c(=O)o1,0.836,0.01
Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c(=O)o1,0.878,0.1
Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c(=O)o1,0.709,0.001
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,0.852,1
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,0.711,0.01
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,0.758,0.1
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,0.705,0.001
Cc1cc2nc(-c3ccc(Br)cc3)n(Cc3ccc(O)c4ncccc34)c2cc1C,0.97,1
Cc1cc2nc(-c3ccc(Br)cc3)n(Cc3ccc(O)c4ncccc34)c2cc1C,0.87,0.01
Cc1cc2nc(-c3ccc(Br)cc3)n(Cc3ccc(O)c4ncccc34)c2cc1C,0.944,0.1
Cc1cc2nc(-c3ccc(Br)cc3)n(Cc3ccc(O)c4ncccc34)c2cc1C,0.773,0.001
Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.7153,0.01
Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.7808,0.1
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.743,0.5
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.631,0.25
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.902,2
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.815,1
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.966,4
Cc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.8777,1
Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,0.6168,0.01
Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,0.7429,0.1
Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,0.7027,0.05
Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,0.7727,0.5
Cc1ccc(C=NNC(=S)Nc2ccccc2)cc1,0.8081,0.01
Cc1ccc(C2=NNC(c3ccc(OCC(=O)O)cc3)C2)cc1,0.64,0.01
Cc1ccc(C2=NNC(c3ccc(OCC(=O)O)cc3)C2)cc1,0.82,0.1
Cc1ccc(C2=NNC(c3ccc(OCC(=O)O)cc3)C2)cc1,0.75,0.05
Cc1ccc(C2=NNC(c3ccc(OCC(=O)O)cc3)C2)cc1,0.88,0.5
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,0.9227,1
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,0.8624,0.01
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,0.8892,0.1
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,0.8134,0.001
Cc1ccc(C2Nc3ccccc3SC2=O)cc1,0.92,1
Cc1ccc(C2Nc3ccccc3SC2=O)cc1,0.88,0.01
Cc1ccc(C2Nc3ccccc3SC2=O)cc1,0.89,0.1
Cc1ccc(N2C(=O)C=CC2=O)cc1,0.828,0.001
Cc1ccc(N2C(=O)C=CC2=O)cc1,0.89,0.01
Cc1ccc(N2C(=O)C=CC2=O)cc1,0.922,0.1
Cc1ccc(N2C(=O)C=CC2=O)cc1,0.965,1
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.946,1
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.86,0.01
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.87,0.1
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.782,0.001
Cc1ccc(NCc2ccc([N+](=O)[O-])o2)cc1,0.421,0.5
Cc1ccc(NCc2ccc(Br)o2)cc1,0.294,0.5
Cc1ccc(NCc2ccc(C)o2)cc1,0.502,0.5
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.85,1
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.74,0.5
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.94,5
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.91,2.5
Cc1ccc(S(=O)(=O)N/N=C/c2ccc(N(C)C)cc2)cc1,0.548,0.1
Cc1ccc(S(=O)(=O)N/N=C/c2ccc(N(C)C)cc2)cc1,0.7,0.5
Cc1ccccc1/C=N/c1ccccc1Sc1ccccc1,0.875,2
Cc1ccccc1/C=N/c1ccccc1Sc1ccccc1,0.651,0.25
Cc1ccccc1/C=N/c1ccccc1Sc1ccccc1,0.703,0.5
Cc1ccccc1/C=N/c1ccccc1Sc1ccccc1,0.842,1
Cc1ccccc1N,0.4313,1
Cc1ccccc1N=Cc1ccccc1O,0.93,1
Cc1ccccc1N=Cc1ccccc1O,0.91,0.5
Cc1n[nH]c(=S)n1/N=C/c1cccc(Cl)c1Cl,0.82,0.1
Cc1n[nH]c(=S)n1/N=C/c1cccc(Cl)c1Cl,0.691,0.05
Cc1n[nH]c(=S)n1/N=C/c1cccc(Cl)c1Cl,0.91,0.5
Cc1nc(-c2ccccc2)cs1,0.903,1
Cc1ncc[nH]1,0.241,1
Cc1ncc[nH]1,0.156,0.1
Cc1ncc[nH]1,0.178,0.5
Cc1ncc[nH]1,0.266,5
Cc1nccc2c1[nH]c1ccccc12,0.73,0.2
Cc1nccc2c1[nH]c1ccccc12,0.85,0.4
Cc1nccc2c1[nH]c1ccccc12,0.91,0.8
Cc1nccc2c1[nH]c1ccccc12,0.93,1.2
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,0.6287,0.01
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,0.8524,0.05
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.6511,0.01
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.8845,0.05
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.886,1
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.45,0.1
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.37,0.05
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.838,0.5
CCc1ccc(/C=N\NC(N)=S)cc1,0.864,0.1
CCc1ccc(/C=N\NC(N)=S)cc1,0.756,0.05
CCc1ccc(/C=N\NC(N)=S)cc1,0.908,0.2
CCc1ccc(/C=N\NC(N)=S)cc1,0.756,0.05
CCc1ccc(/C=N\NC(N)=S)cc1,0.937,0.3
CCc1ccccc1N,0.4988,1
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1,0.635,0.1
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1,0.631,0.05
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1,0.842,0.5
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.923,1
CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.878,1
CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.446,0.1
CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.307,0.05
CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],0.809,0.5
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.83,1
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.802,0.5
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.889,5
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.802,0.5
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.863,2
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.924,0.01
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.945,0.05
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.861,0.005
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.878,0.0075
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.838,0.01
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.918,0.05
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.529,0.005
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.675,0.0075
CCCCCCC[n+]1ccccn1.[I-],0.914,1
CCCCCCC[n+]1ccccn1.[I-],0.845,0.01
CCCCCCC[n+]1ccccn1.[I-],0.854,0.1
CCCCCCC[n+]1ccccn1.[I-],0.651,0.001
CCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9727,1
CCCCCCCC[N+](C)(C)c1ccc(/C=N\c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.7492,0.1
CCCCCCCC[N+](C)(C)c1ccc(/C=N\c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.4028,0.05
CCCCCCCC[N+](C)(C)c1ccc(/C=N\c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.8048,0.5
CCCCCCCC[N+](C)(C)c1ccc(/C=N\c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.8648,5
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.919,1
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.755,0.01
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.843,0.1
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.808,0.05
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.883,0.5
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.71,0.005
CCCCCCCC[n+]1ccccn1.[I-],0.892,1
CCCCCCCC[n+]1ccccn1.[I-],0.809,0.01
CCCCCCCC[n+]1ccccn1.[I-],0.872,0.1
CCCCCCCC[n+]1ccccn1.[I-],0.74,0.001
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9535,0.1
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9061,0.05
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.967,0.5
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9559,0.25
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.967,5
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9559,2.5
CCCCCCCCC[n+]1ccccn1.[I-],0.877,1
CCCCCCCCC[n+]1ccccn1.[I-],0.779,0.01
CCCCCCCCC[n+]1ccccn1.[I-],0.854,0.1
CCCCCCCCC[n+]1ccccn1.[I-],0.73,0.001
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.4472,0.01
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.7287,0.1
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.6025,0.05
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.8778,0.5
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9776,1
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.9346,1
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.9479,5
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.4472,0.01
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.6025,0.05
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.7287,0.1
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.8778,0.5
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9608,0.1
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9418,0.05
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9739,0.5
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9681,0.25
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9739,5
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9681,2.5
CCCCCCCCCCC1=Nn2cnnc2N(CCCCCCCCCC)C(=O)C1,0.939,0.01
CCCCCCCCCCC1=Nn2cnnc2N(CCCCCCCCCC)C(=O)C1,0.962,0.1
CCCCCCCCCCC1=Nn2cnnc2N(CCCCCCCCCC)C(=O)C1,0.971,1
CCCCCCCCCCC1=Nn2cnnc2N(CCCCCCCCCC)C(=O)C1,0.962,0.1
CCCCCCCCCCC1=Nn2cnnc2N(CCCCCCCCCC)C(=O)C1,0.939,0.01
CCCCCCCCCCC1=Nn2cnnc2N(CCCCCCCCCC)C(=O)C1,0.697,0.001
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.4534,0.01
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.7852,0.1
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.6156,0.05
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.9116,0.5
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9711,1
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.9127,1
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.8648,0.1
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.7769,0.05
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.8875,0.5
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.94,5
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.9418,1
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.949,5
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.4534,0.01
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.6156,0.05
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.7852,0.1
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.9116,0.5
CCCCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.87,0.01
CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.84,0.01
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/C=C/c1ccccc1.[Br-].[Cl-],0.9499,1
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccc(OC)cc1.[Br-].[Cl-],0.9544,1
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccco1.[Br-].[Cl-],0.9465,1
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.934,1
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.768,0.01
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.851,0.1
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.828,0.05
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.893,0.5
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.724,0.005
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9691,0.1
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.9636,0.05
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.971,0.5
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.8291,0.25
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.971,5
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.8291,2.5
[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,0.921,0.5
[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,0.957,1
CCCCCCCCCCCCCCC1C=Nn2cnnc2N(CCCCCCCCCCCCCC)C1=O,0.978,1
CCCCCCCCCCCCCCC1C=Nn2cnnc2N(CCCCCCCCCCCCCC)C1=O,0.957,0.1
CCCCCCCCCCCCCCC1C=Nn2cnnc2N(CCCCCCCCCCCCCC)C1=O,0.953,0.01
CCCCCCCCCCCCCCC1C=Nn2cnnc2N(CCCCCCCCCCCCCC)C1=O,0.942,0.001
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.5036,0.01
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.8539,0.1
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.6798,0.05
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.9465,0.5
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.9401,1
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.8835,0.1
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.7492,0.05
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.9161,0.5
