SMILES,IE,Concentration_mM
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,0.606,0.001
C[N+](C)(C)CCCCCCN1C(=O)C(=O)c2ccccc21,0.9207,1
C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.7047,0.01
C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.875,0.1
C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.7889,0.05
C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.9036,0.5
C[N+](C)(CCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.7769,0.01
C[N+](C)(CCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.8966,0.1
C[N+](C)(CCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.8227,0.05
C[N+](C)(CCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.9048,0.5
C[N+](C)(CCCCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.8224,0.01
C[N+](C)(CCCCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.891,0.1
C[N+](C)(CCCCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.8691,0.05
C[N+](C)(CCCCCCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.9094,0.5
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.3155,0.1
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.7482,0.5
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.4375,0.25
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.8337,1
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.862,1.25
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0098,0.1
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1792,0.5
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0692,0.25
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.264,1
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3104,1.25
C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,0.0395,0.1
C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,0.0842,0.5
C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,0.0542,0.25
C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,0.137,1
C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,0.1569,1.25
C=[N+]([O-])c1cc(Cl)cc2cc(C=O)c(Cl)cc12,0.95,1
C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,0.9707,1
C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,0.9031,0.1
C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,0.9632,0.5
C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,0.9496,0.25
C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,0.9704,0.75
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,0.936,1
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,0.893,0.01
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,0.907,0.1
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,0.849,0.001
C=CCSc1nc2ccccc2[nH]1,0.937,1
C=CCSc1nc2ccccc2[nH]1,0.91,0.01
C=CCSc1nc2ccccc2[nH]1,0.923,0.1
C=CCSc1nc2ccccc2[nH]1,0.876,0.001
C1=Nc2cccc3cccc(c23)N1,0.8526,0.1
c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1,0.97,1
c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,0.96,1
c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,0.85,0.1
c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,0.72,0.05
c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,0.93,0.5
c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,0.89,0.25
c1cc(-c2nnc(-c3ccsc3)s2)cs1,0.95,0.1
